id,logs,nickName,points,bestScore,date,time
-LFEL4PWjxEVX4stuxzE,122,player938,484,0,2018/06/17,23:03:24
-LFH8EqDsp9kgJZT909B,266,player324,273,0,2018/06/18,11:06:11
-LFHM2fU1yswJF7BxZoc,,player691,10,0,2018/06/18,11:06:31
-LFIbZ8AoZ4tDaztklJ-,88,player723,141,0,2018/06/18,16:58:16
-LFIgo8N6ryehmpjRUOW,7633,MikeH,6746,0,2018/06/18,11:21:12
-LFKT3K5sn6aFUwSxA4F,1532,erika~Atien.,2000,0,2018/06/18,19:36:00
-LFZ7vWfHZcBxZkw-8vL,2,Clau277,10,0,2018/06/21,17:57:58
-LG022zfYn_6FWnBHGAk,,anse23,10,0,2018/06/27,12:41:19
-LG6lcLuFcEfJd6ETGoo,83,Pato,251,0,2018/06/28,14:02:30
-aDummy0,,Jimmy,158,,,
-aDummy1,,Joel,138,,,
