id,logs,nickName,points,bestScore,date,time
6/29,11:49:56
-LGAcih7DxsHr7mRw8RA,5,player957,10,0,2018/06/29,06:02:05
-LGQv2lL2O7gJl8KldEh,1,player903,10,9244,2018/07/02,22:26:05
-LGTCYRBAfmUEP1KFWWr,,player231,10,0,2018/07/02,22:36:08
-LGTJA0hBS32XRYXBJZX,,player721,10,0,2018/07/02,23:05:03
-LGVQkI06xOU6EcvNoZo,2795,player882,8826,20376,2018/07/03,14:57:25
-LGVWf29CcZE_aU_YOtp,4313,m-diddy,26279,2968,2018/07/03,15:23:17
-LGd-W9wUcoEu9sWIV6p,2,player756,10,904,2018/07/05,11:25:00
-LHAbFfAsT_SCj5w-fIV,211,player274,325,0,2018/07/11,19:11:22
-LHN_SfC_er2qcsQuIeu,5,player3,10,0,2018/07/14,17:08:35
-LHNuunsmC2ERdUsulDi,,player376,10,0,2018/07/14,23:12:19
-LHTXSnFSzthgOd5jJ2a,,player535,10,0,2018/07/15,11:23:12
