id,logs,nickName,points,bestScore,date,time
-LGA9hpn4Nt7zvT8nN0_,1,player389,10,0,2018/06/29,11:50:57
-LGAeS-dXeK25gfUYkEQ,,player193,10,0,2018/06/29,06:09:37
-LGLnTz3lVL3Whmo_0tU,,player612,10,0,2018/07/01,18:04:54
-LGNYbFO2Rugl0Svm-Tq,,player550,10,0,2018/07/02,02:14:48
-LGPTtC0alVRQ-dfmAxm,1,player331,10,0,2018/07/02,11:13:25
-LGVaOpJOAQ-strf9aNn,1,player333,10,0,2018/07/03,15:43:57
-LGW87EnwSlrh4B_R_LO,3,player310,23,0,2018/07/03,19:15:40
-LGW8FVzPMgvulZ7XDxL,1034,player662,3164,0,2018/07/03,19:16:14
-LGWLAVPns4yNQr7N27U,,player141,10,0,2018/07/03,20:12:41
-LGWMubAcjeUAn7nqZIG,103,player838,22,0,2018/07/03,20:20:16
-LGWS_q6XdoSomdervpw,295,player906,720,0,2018/07/03,15:45:04
-LGWVIfCeQjBWSFO05T2,,player191,10,0,2018/07/03,14:56:56
-LGXlP8y3oPtbqyWL24u,,player38,10,0,2018/07/03,20:51:16
-LGZAqqqcRzS-66v-e2T,3,player384,10,0,2018/07/04,00:26:27
-LGZXhNNsiMA3OhV8R6i,21,Corentin 943,10,0,2018/07/04,11:06:17
-LG_0T48fC8bM9HzuUXj,,player977,10,0,2018/07/04,13:20:41
-LG_V78_nsiuRY4KPYMj,25517,player351,96546,0,2018/07/04,06:34:38
-LGfEZdsCBiy0U9Qr1mF,,player814,10,0,2018/07/05,18:20:01
-LGfb_iUFQmaH26SrnJT,16,player582,68,0,2018/07/05,19:04:57
-LGm5msR1DohiuSCnNa9,23,player433,76,0,2018/07/07,08:19:01
-LH2DrJIbCvypIy6jHcu,,player475,10,0,2018/07/10,11:07:49
-LHQpDgSZ1_gtJ5n1ksW,6,player679,24,0,2018/07/15,09:46:19
